Debit,Credit,payment_type_imps,payment_type_neft,payment_type_pos,payment_type_upi,category_food,category_medical,category_others,category_recharge,category_salary,category_shopping,category_travel
0.0,0.19616117040288528,0,1,0,0,0,0,0,0,1,0,0
0.0018078510406207603,0.0,0,0,1,0,0,0,0,0,0,1,0
0.0016973997797553007,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0037120090676197376,0.0,0,1,0,0,0,0,0,0,0,1,0
0.00659774500751888,0.0,0,0,0,1,0,0,0,0,0,1,0
0.08141370579763606,0.0,0,0,1,0,1,0,0,0,0,0,0
0.08141370579763606,0.0,0,0,0,1,0,1,0,0,0,0,0
0.08141370579763606,0.0,0,0,0,1,0,0,1,0,0,0,0
0.0023220382961170838,0.0,0,1,0,0,1,0,0,0,0,0,0
0.0021521116093762577,0.0,0,0,0,1,0,0,1,0,0,0,0
0.0007622493894813339,0.0,0,0,1,0,0,1,0,0,0,0,0
0.0,0.19522119849707892,0,1,0,0,0,0,0,0,1,0,0
0.004907922129983146,0.0,0,0,0,1,0,0,0,0,0,1,0
0.0036427422867271087,0.0,1,0,0,0,0,1,0,0,0,0,0
0.0022694450421718105,0.0,0,0,0,1,0,0,0,0,0,1,0
0.0,0.13511469498029152,0,1,0,0,0,0,0,0,1,0,0
0.0002231278296893879,0.0,0,0,0,1,0,0,0,0,0,1,0
0.009605525519989066,0.0,0,0,1,0,0,0,0,0,0,0,1
0.020598275455805212,0.0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.15582697592473457,0,1,0,0,0,0,0,0,1,0,0
0.011290116210032206,0.0,0,0,0,1,0,0,0,0,0,1,0
0.009009067000994039,0.0,1,0,0,0,1,0,0,0,0,0,0
0.0,0.11664424703119665,0,1,0,0,0,0,0,0,1,0,0
0.0,0.14953229739551802,0,1,0,0,0,0,0,0,1,0,0
0.0050458695130866605,0.0,0,1,0,0,0,0,1,0,0,0,0
0.002702186026388179,0.0,0,1,0,0,0,0,0,0,0,1,0
0.0034144474005097644,0.0,0,1,0,0,1,0,0,0,0,0,0
0.006670518005341195,0.0,0,0,1,0,0,0,0,0,0,1,0
0.002294390201628206,0.0,0,0,0,1,0,0,0,0,0,1,0
0.005951059659627098,0.0,0,0,1,0,1,0,0,0,0,0,0
0.017035709386547616,0.0,0,0,0,1,0,0,0,0,0,1,0
0.0031857508733438185,0.0,0,0,1,0,0,0,0,0,0,1,0
0.00921185225939479,0.0,0,0,0,1,0,0,0,1,0,0,0
0.00775952944441192,0.0,0,0,1,0,0,0,0,0,0,1,0
0.0,0.223185362694818,0,1,0,0,0,0,0,0,1,0,0
0.0,0.08493742802850528,0,1,0,0,0,0,0,0,1,0,0
0.007661496487470793,0.0,0,0,0,1,0,1,0,0,0,0,0
0.008615480581685946,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0013473425551470118,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0007229211420006892,0.0,0,0,0,1,1,0,0,0,0,0,0
0.02274850912236774,0.0,0,1,0,0,0,0,0,0,0,1,0
0.013307200474552892,0.0,1,0,0,0,0,0,0,0,0,1,0
0.009958633044774574,0.0,0,0,0,1,0,0,0,0,0,1,0
0.020076533008410866,0.0,1,0,0,0,0,1,0,0,0,0,0
0.004695399792368997,0.0,0,0,1,0,0,0,1,0,0,0,0
0.0056682284456861095,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0047862900535214775,0.0,0,0,0,1,0,0,0,0,0,0,1
0.004915716135418174,0.0,1,0,0,0,0,0,0,0,0,1,0
0.004107625401992384,0.0,0,1,0,0,0,0,0,0,0,1,0
0.0008376601913714909,0.0,1,0,0,0,0,0,0,0,0,0,1
0.008361958301832107,0.0,0,1,0,0,0,0,1,0,0,0,0
0.001434248972295795,0.0,0,0,1,0,1,0,0,0,0,0,0
0.0,0.07724062473979423,0,1,0,0,0,0,0,0,1,0,0
0.005417658769562531,0.0,1,0,0,0,1,0,0,0,0,0,0
0.004320581946037454,0.0,0,0,0,1,0,0,0,0,0,1,0
0.0059677766072175455,0.0,0,1,0,0,1,0,0,0,0,0,0
0.009966579022460422,0.0,0,1,0,0,1,0,0,0,0,0,0
6.779047902749829e-05,0.0,1,0,0,0,0,0,0,0,0,1,0
0.010242690891882913,0.0,1,0,0,0,0,0,0,0,0,0,1
0.0,0.12535935321786457,0,1,0,0,0,0,0,0,1,0,0
0.01444743741731149,0.0,1,0,0,0,0,1,0,0,0,0,0
0.000348852301762484,0.0,0,0,1,0,0,0,0,0,0,1,0
0.00876687750898723,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0010049273637229275,0.0,0,0,1,0,0,0,0,1,0,0,0
0.0011495181052195293,0.0,0,0,0,1,0,0,0,0,0,0,1
0.004098137991476766,0.0,0,1,0,0,0,0,0,0,0,1,0
0.004237713648696233,0.0,1,0,0,0,0,1,0,0,0,0,0
0.0024653915492855614,0.0,0,1,0,0,0,0,0,0,0,0,1
0.005311701545257102,0.0,0,1,0,0,0,0,0,0,0,1,0
0.003180876906156733,0.0,0,0,1,0,0,0,0,0,0,0,1
0.010075532271139206,0.0,1,0,0,0,0,0,0,0,0,1,0
0.0016429720036393878,0.0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.15502643318495615,0,1,0,0,0,0,0,0,1,0,0
0.00607382067280916,0.0,0,1,0,0,0,0,0,0,0,1,0
0.0028689430061832836,0.0,0,0,0,1,1,0,0,0,0,0,0
0.007376939302966895,0.0,0,1,0,0,1,0,0,0,0,0,0
0.0011953051733601197,0.0,1,0,0,0,0,0,0,0,0,1,0
0.002496296192006344,0.0,1,0,0,0,1,0,0,0,0,0,0
0.005619293380921344,0.0,0,0,1,0,0,0,0,1,0,0,0
0.000467336381599977,0.0,0,0,1,0,0,0,1,0,0,0,0
0.0,0.11072085740477361,0,1,0,0,0,0,0,0,1,0,0
0.0,0.22574051965876826,0,1,0,0,0,0,0,0,1,0,0
0.0065398652902771475,0.0,0,0,0,1,0,1,0,0,0,0,0
0.012427802190009146,0.0,0,1,0,0,0,0,0,0,0,0,1
0.0,0.13375173571687232,0,1,0,0,0,0,0,0,1,0,0
0.004903026452474516,0.0,0,0,0,1,0,0,0,0,0,1,0
0.012573120227277539,0.0,1,0,0,0,1,0,0,0,0,0,0
0.010273161328172775,0.0,0,1,0,0,0,0,0,0,0,0,1
0.0005433442173326501,0.0,0,1,0,0,0,0,0,0,0,1,0
0.0,0.11001901171510486,0,1,0,0,0,0,0,0,1,0,0
0.005194737187927832,0.0,0,0,0,1,0,0,0,0,0,1,0
0.005273686772229992,0.0,1,0,0,0,1,0,0,0,0,0,0
0.002606009301939238,0.0,1,0,0,0,0,0,0,0,0,1,0
