Debit,Credit,payment_type_imps,payment_type_neft,payment_type_pos,payment_type_upi,category_food,category_medical,category_others,category_recharge,category_salary,category_shopping,category_travel,cluster_label,is_anomaly
0.0,0.1961611704028852,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0018078510406207,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0
0.0016973997797553,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.0037120090676197,0.0,0,1,0,0,0,0,0,0,0,1,0,3,0
0.0065977450075188,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.081413705797636,0.0,0,0,1,0,1,0,0,0,0,0,0,5,0
0.081413705797636,0.0,0,0,0,1,0,1,0,0,0,0,0,6,0
0.081413705797636,0.0,0,0,0,1,0,0,1,0,0,0,0,7,0
0.002322038296117,0.0,0,1,0,0,1,0,0,0,0,0,0,8,0
0.0021521116093762,0.0,0,0,0,1,0,0,1,0,0,0,0,7,0
0.0007622493894813,0.0,0,0,1,0,0,1,0,0,0,0,0,9,0
0.0,0.1952211984970789,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0049079221299831,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.0036427422867271,0.0,1,0,0,0,0,1,0,0,0,0,0,10,0
0.0022694450421718,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.0,0.1351146949802915,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0002231278296893,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.009605525519989,0.0,0,0,1,0,0,0,0,0,0,0,1,11,0
0.0205982754558052,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0
0.0,0.1558269759247345,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0112901162100322,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.009009067000994,0.0,1,0,0,0,1,0,0,0,0,0,0,12,0
0.0,0.1166442470311966,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.149532297395518,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0050458695130866,0.0,0,1,0,0,0,0,1,0,0,0,0,13,0
0.0027021860263881,0.0,0,1,0,0,0,0,0,0,0,1,0,3,0
0.0034144474005097,0.0,0,1,0,0,1,0,0,0,0,0,0,8,0
0.0066705180053411,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0
0.0022943902016282,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.005951059659627,0.0,0,0,1,0,1,0,0,0,0,0,0,5,0
0.0170357093865476,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.0031857508733438,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0
0.0092118522593947,0.0,0,0,0,1,0,0,0,1,0,0,0,14,0
0.0077595294444119,0.0,0,0,1,0,0,0,0,0,0,1,0,1,0
0.0,0.223185362694818,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0,0.0849374280285052,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0076614964874707,0.0,0,0,0,1,0,1,0,0,0,0,0,6,0
0.0086154805816859,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.001347342555147,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.0007229211420006,0.0,0,0,0,1,1,0,0,0,0,0,0,15,0
0.0227485091223677,0.0,0,1,0,0,0,0,0,0,0,1,0,3,0
0.0133072004745528,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.0099586330447745,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
0.0200765330084108,0.0,1,0,0,0,0,1,0,0,0,0,0,10,0
0.0046953997923689,0.0,0,0,1,0,0,0,1,0,0,0,0,16,0
0.0056682284456861,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.0047862900535214,0.0,0,0,0,1,0,0,0,0,0,0,1,17,0
0.0049157161354181,0.0,1,0,0,0,0,0,0,0,0,1,0,2,0
0.0041076254019923,0.0,0,1,0,0,0,0,0,0,0,1,0,3,0
0.0008376601913714,0.0,1,0,0,0,0,0,0,0,0,0,1,18,0
0.0083619583018321,0.0,0,1,0,0,0,0,1,0,0,0,0,13,0
0.0014342489722957,0.0,0,0,1,0,1,0,0,0,0,0,0,5,0
0.0,0.0772406247397942,0,1,0,0,0,0,0,0,1,0,0,0,0
0.0054176587695625,0.0,1,0,0,0,1,0,0,0,0,0,0,12,0
0.0043205819460374,0.0,0,0,0,1,0,0,0,0,0,1,0,4,0
